movie_id,title,cast,release_year,director,genres,budget_usd,box_office_usd,plot
M1950_01,Sunset Boulevard,"William Holden, Gloria Swanson, Erich von Stroheim",1950,Billy Wilder,"Noir, Psychological Thriller",1750000,5000000,"A faded silent-film star ropes a young screenwriter into her delusional return to glory."
M1950_02,Strangers on a Train,"Farley Granger, Ruth Roman, Robert Walker",1951,Alfred Hitchcock,"Psychological Thriller",1200000,7000000,"Two strangers on a train plot the perfect cross-murder swap to escape suspicion."
M1950_03,Dial M for Murder,"Ray Milland, Grace Kelly, Robert Cummings",1954,Alfred Hitchcock,"Crime Thriller",1400000,6000000,"An ex-tennis pro plots to murder his wealthy wife after discovering her affair."
M1950_04,Rear Window,"James Stewart, Grace Kelly, Wendell Corey",1954,Alfred Hitchcock,"Mystery, Suspense",1000000,37000000,"A recuperating photographer spies on his neighbors from his apartment window and becomes convinced one has committed murder."
M1950_05,711 Ocean Drive,"Edmond O'Brien, Joanne Dru, Otto Kruger",1950,Joseph M. Newman,"Crime, Noir, Thriller",300000,1550000,"An electronics expert uses his knowledge to help a bookmaking syndicate build a massive illegal gambling empire."
M1950_06,The Man Who Knew Too Much,"James Stewart, Doris Day, Christopher Olsen",1956,Alfred Hitchcock,"Espionage Thriller",1200000,11300000,"A family vacationing in Morocco stumbles into an international assassination plot and faces a kidnapping."
M1950_07,Touch of Evil,"Charlton Heston, Janet Leigh, Orson Welles",1958,Orson Welles,"Crime Noir, Thriller",850000,2200000,"A stark story of murder, kidnapping, and police corruption in a Mexican border town."
M1950_08,Vertigo,"James Stewart, Kim Novak, Barbara Bel Geddes",1958,Alfred Hitchcock,"Psychological Thriller",2500000,7300000,"An acrophobic detective becomes obsessed with a beautiful woman he is hired to tail."
M1950_09,Anatomy of a Murder,"James Stewart, Lee Remick, Ben Gazzara",1959,Otto Preminger,"Legal Thriller",2000000,11000000,"A small-town lawyer defends an army lieutenant who claims temporary insanity after killing an innkeeper."
M1950_10,North by Northwest,"Cary Grant, Eva Marie Saint, James Mason",1959,Alfred Hitchcock,"Action, Spy Thriller",4300000,9800000,"A New York ad executive is mistaken for a government agent by a gang of foreign spies."
M1960_01,Psycho,"Anthony Perkins, Janet Leigh, Vera Miles",1960,Alfred Hitchcock,"Horror, Psychological Thriller",800000,50000000,"A secretary on the run checks into a remote motel run by a deeply disturbed young man."
M1960_02,Peeping Tom,"Carl Boehm, Anna Massey, Moira Shearer",1960,Michael Powell,"Psychological Thriller",350000,100000,"A serial killer murders women using a movie camera to record their dying expressions of fear."
M1960_03,Cape Fear,"Gregory Peck, Robert Mitchum, Polly Bergen",1962,J. Lee Thompson,"Psychological Thriller",2000000,5000000,"A lawyer's family is terrorized by a sadistic ex-convict he helped put behind bars."
M1960_04,The Manchurian Candidate,"Frank Sinatra, Laurence Harvey, Janet Leigh",1962,John Frankenheimer,"Political Thriller",2200000,7700000,"A Korean War veteran brainwashed by Communists becomes an unwitting political assassin."
M1960_05,The Birds,"Tippi Hedren, Rod Taylor, Jessica Tandy",1963,Alfred Hitchcock,"Natural Horror, Thriller",2500000,11400000,"A wealthy socialite follows a lawyer to a small town where birds suddenly begin attacking people."
M1960_06,Charade,"Cary Grant, Audrey Hepburn, Walter Matthau",1963,Stanley Donen,"Romantic Comedy, Mystery Thriller",3000000,13500000,"A woman is pursued by a gang of criminals looking for her late husband's stolen fortune."
M1960_07,Fail Safe,"Henry Fonda, Walter Matthau, Fritz Weaver",1964,Sidney Lumet,"Cold War Thriller",1300000,2000000,"A technical malfunction accidentally sends an American bomber group to launch a nuclear strike on Moscow."
M1960_08,Repulsion,"Catherine Deneuve, Ian Hendry, John Fraser",1965,Roman Polanski,"Psychological Thriller",300000,3100000,"An introverted, man-hating woman descends into violent madness while left alone in an apartment."
M1960_09,Wait Until Dark,"Audrey Hepburn, Alan Arkin, Richard Crenna",1967,Terence Young,"Suspense Thriller",3000000,17500000,"A recently blinded woman is terrorized by three con men searching for a drug-filled doll."
M1960_10,In the Heat of the Night,"Sidney Poitier, Rod Steiger, Warren Oates",1967,Norman Jewison,"Mystery, Crime Thriller",2000000,24400000,"A Black detective is wrongfully arrested for murder in a racist Southern town and stays to solve the case."
M1970_01,Dirty Harry,"Clint Eastwood, Andrew Robinson, Harry Guardino",1971,Don Siegel,"Action, Crime Thriller",4000000,36000000,"A rogue inspector plays by his own rules to catch a sadistic sniper terrorizing San Francisco."
M1970_02,The French Connection,"Gene Hackman, Fernando Rey, Roy Scheider",1971,William Friedkin,"Action, Crime Thriller",1800000,51700000,"Two NYC narcotics detectives attempt to bust a massive international heroin smuggling ring."
M1970_03,Deliverance,"Jon Voight, Burt Reynolds, Ned Beatty",1972,John Boorman,"Survival Thriller",2000000,46000000,"Four city men face a brutal fight for survival during a canoeing trip in the Georgia wilderness."
M1970_04,Don't Look Now,"Julie Christie, Donald Sutherland, Hilary Mason",1973,Nicolas Roeg,"Psychological Thriller",1100000,4000000,"A grieving couple in Venice is haunted by strange visions following the drowning of their daughter."
M1970_05,The Conversation,"Gene Hackman, John Cazale, Allen Garfield",1974,Francis Ford Coppola,"Psychological Thriller",1600000,4400000,"A paranoid surveillance expert believes his recordings have intercepted a corporate murder plot."
M1970_06,Chinatown,"Jack Nicholson, Faye Dunaway, John Huston",1974,Roman Polanski,"Neo-Noir, Mystery Thriller",6000000,29000000,"A private eye in 1930s LA uncovers a web of corruption tied to the city's water supply."
M1970_07,Jaws,"Roy Scheider, Robert Shaw, Richard Dreyfuss",1975,Steven Spielberg,"Creature Thriller",9000000,476500000,"A local sheriff, a marine biologist, and an old seaman hunt a man-eating great white shark."
M1970_08,Taxi Driver,"Robert De Niro, Jodie Foster, Cybill Shepherd",1976,Martin Scorsese,"Psychological Thriller",1300000,28300000,"An unstable war veteran takes a night shift taxi job and descends into urban vigilantism."
M1970_09,Marathon Man,"Dustin Hoffman, Laurence Olivier, Roy Scheider",1976,John Schlesinger,"Conspiracy Thriller",6500000,21800000,"A history student is pulled into a deadly conspiracy involving a Nazi war criminal and stolen diamonds."
M1970_10,Alien,"Sigourney Weaver, Tom Skerritt, John Hurt",1979,Ridley Scott,"Sci-Fi, Horror Thriller",11000000,106000000,"The crew of a commercial spacecraft is hunted one-by-one by a parasitic extraterrestrial organism."
M1980_01,The Shining,"Jack Nicholson, Shelley Duvall, Danny Lloyd",1980,Stanley Kubrick,"Psychological Horror Thriller",19000000,47000000,"A family stays at an isolated hotel for the winter where a sinister presence drives the father insane."
M1980_02,Blow Out,"John Travolta, Nancy Allen, John Lithgow",1981,Brian De Palma,"Neo-Noir, Political Thriller",18000000,12000000,"A movie sound recordist accidentally captures audio evidence of a political assassination."
M1980_03,Body Heat,"William Hurt, Kathleen Turner, Richard Crenna",1981,Lawrence Kasdan,"Neo-Noir, Erotic Thriller",9000000,24000000,"A lawyer is seduced by a mysterious woman into killing her wealthy husband."
M1980_04,Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young",1982,Ridley Scott,"Sci-Fi Thriller",28000000,41700000,"A blade runner is assigned to hunt down and terminate four synthetic humans who escaped back to Earth."
M1980_05,Blood Simple,"John Getz, Frances McDormand, Dan Hedaya",1984,Joel Coen,"Crime Thriller",1500000,3800000,"A jealous bar owner hires a slimy private detective to murder his cheating wife and her lover."
M1980_06,Blue Velvet,"Kyle MacLachlan, Isabella Rossellini, Dennis Hopper",1986,David Lynch,"Neo-Noir, Mystery Thriller",6000000,8600000,"A college student finds a severed human ear in a field, stumbling into a criminal underworld."
M1980_07,Fatal Attraction,"Michael Douglas, Glenn Close, Anne Archer",1987,Adrian Lyne,"Psychological, Erotic Thriller",14000000,320100000,"A married man's brief weekend affair turns into a nightmare when his lover becomes obsession-driven."
M1980_08,No Way Out,"Kevin Costner, Gene Hackman, Sean Young",1987,Roger Donaldson,"Political Thriller",14000000,35500000,"A naval officer is put in charge of a murder investigation, unaware that all clues point to him."
M1980_09,Die Hard,"Bruce Willis, Alan Rickman, Bonnie Bedelia",1988,John McTiernan,"Action Thriller",28000000,141500000,"An NYPD officer tries to save his wife and several others taken hostage by German terrorists in an LA high-rise."
M1980_10,Dead Calm,"Nicole Kidman, Sam Neill, Billy Zane",1989,Phillip Noyce,"Psychological Thriller",10000000,10200000,"A grieving couple on a yacht trip rescues a panicked man who left his sinking vessel under suspicious circumstances."
M1990_01,Misery,"James Caan, Kathy Bates, Richard Farnsworth",1990,Rob Reiner,"Psychological Thriller",20000000,61000000,"A famous author is rescued from a car crash by an obsessive fan who holds him captive."
M1990_02,The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Scott Glenn",1991,Jonathan Demme,"Psychological Thriller",19000000,272700000,"An FBI trainee seeks the advice of an imprisoned cannibalistic psychiatrist to catch another serial killer."
M1990_03,Basic Instinct,"Michael Douglas, Sharon Stone, George Dzundza",1992,Paul Verhoeven,"Erotic Thriller",49000000,352900000,"A police detective investigates a brutal murder and gets involved with the prime suspect, a manipulative novelist."
M1990_04,The Fugitive,"Harrison Ford, Tommy Lee Jones, Sela Ward",1993,Andrew Davis,"Action, Crime Thriller",44000000,368900000,"A doctor wrongfully convicted of his wife's murder escapes custody to find the real one-armed killer."
M1990_05,Pulp Fiction,"John Travolta, Samuel L. Jackson, Uma Thurman",1994,Quentin Tarantino,"Crime Thriller",8000000,213900000,"The lives of two mob hitmen, a boxer, a gangster, and his wife intertwine in four tales of violence."
M1990_06,The Usual Suspects,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",1995,Bryan Singer,"Mystery, Crime Thriller",6000000,34400000,"A sole survivor tells of a twist-filled heist orchestrated by a legendary criminal mastermind."
M1990_07,Se7en,"Morgan Freeman, Brad Pitt, Kevin Spacey",1995,David Fincher,"Crime Thriller",33000000,327300000,"Two homicide detectives hunt a serial killer who uses the seven deadly sins as his motives."
M1990_08,Fargo,"Frances McDormand, William H. Macy, Steve Buscemi",1996,Joel Coen,"Dark Comedy, Crime Thriller",7000000,60600000,"A desperate car salesman's inept plan to kidnap his own wife for ransom falls apart due to bumbling criminals."
M1990_09,L.A. Confidential,"Kevin Spacey, Russell Crowe, Guy Pearce",1997,Curtis Hanson,"Neo-Noir, Crime Thriller",35000000,126000000,"Three vastly different LAPD detectives investigate a series of murders and unearth deep police corruption."
M1990_10,The Sixth Sense,"Bruce Willis, Haley Joel Osment, Toni Collette",1999,M. Night Shyamalan,"Supernatural Thriller",40000000,672800000,"A child psychologist treats a frightened little boy who claims he can see dead people."
M2000_01,Memento,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",2000,Christopher Nolan,"Psychological Thriller",9000000,40000000,"A man with short-term memory loss uses notes and tattoos to track down his wife's killer."
M2000_02,Mulholland Drive,"Naomi Watts, Laura Harring, Justin Theroux",2001,David Lynch,"Neo-Noir, Mystery Thriller",15000000,20100000,"An aspiring actress arrives in LA and befriends an amnesiac woman recovering from a car crash."
M2000_03,Mystic River,"Sean Penn, Kevin Bacon, Tim Robbins",2003,Clint Eastwood,"Crime Drama, Thriller",30000000,156800000,"The murder of a man's daughter reunites three childhood friends whose lives were shattered by a past tragedy."
M2000_04,Oldboy,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung",2003,Park Chan-wook,"Action, Psychological Thriller",3000000,15000000,"A man is kidnapped and imprisoned for 15 years, then abruptly released with 5 days to find his captor."
M2000_05,Collateral,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith",2004,Michael Mann,"Neo-Noir, Crime Thriller",65000000,220900000,"A Los Angeles cab driver finds himself taken hostage by an assassin contractually bound to do multiple hits."
M2000_06,The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",2006,Martin Scorsese,"Crime, Espionage Thriller",90000000,291500000,"An undercover cop and a mole in the police force try to identify each other while infiltrating an Irish gang."
M2000_07,No Country for Old Men,"Tommy Lee Jones, Javier Bardem, Josh Brolin",2007,Joel Coen,"Neo-Western, Crime Thriller",25000000,171600000,"A hunter stumbles on a drug deal gone wrong and takes a briefcase of cash, pursued by a psychopathic killer."
M2000_08,Zodiac,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr.",2007,David Fincher,"Mystery, Crime Thriller",65000000,84700000,"A political cartoonist becomes obsessed with hunting down the infamous Zodiac Killer in San Francisco."
M2000_09,Taken,"Liam Neeson, Maggie Grace, Famke Janssen",2008,Pierre Morel,"Action Thriller",25000000,226800000,"A retired CIA operative relies on his old skills to save his estranged daughter after she is kidnapped in Paris."
M2000_10,Shutter Island,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley",2010,Martin Scorsese,"Psychological Thriller",80000000,294800000,"A US Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
M2010_01,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",2010,Christopher Nolan,"Sci-Fi, Heist Thriller",160000000,839000000,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea."
M2010_02,Black Swan,"Natalie Portman, Mila Kunis, Vincent Cassel",2010,Darren Aronofsky,"Psychological Thriller",13000000,329400000,"A committed ballerina wins the lead role in Swan Lake, only to lose her grip on reality due to intense pressure."
M2010_03,The Girl with the Dragon Tattoo,"Daniel Craig, Rooney Mara, Christopher Plummer",2011,David Fincher,"Mystery Thriller",90000000,232600000,"A journalist and a hacker team up to solve the 40-year-old disappearance of an industrialist's niece."
M2010_04,Prisoners,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",2013,Denis Villeneuve,"Crime, Mystery Thriller",46000000,122100000,"A desperate father takes matters into his own hands when the police fail to find his missing young daughter."
M2010_05,Nightcrawler,"Jake Gyllenhaal, Rene Russo, Riz Ahmed",2014,Dan Gilroy,"Psychological Thriller",8500000,47400000,"A desperate con man muscles into the world of LA freelance crime journalism, blurring lines between observer and participant."
M2010_06,Gone Girl,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",2014,David Fincher,"Psychological Thriller",61000000,369300000,"A man becomes the prime suspect in the intense media circus surrounding the sudden disappearance of his wife."
M2010_07,Sicario,"Emily Blunt, Benicio del Toro, Josh Brolin",2015,Denis Villeneuve,"Crime, Action Thriller",30000000,84900000,"An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs."
M2010_08,Get Out,"Daniel Kaluuya, Allison Williams, Bradley Whitford",2017,Jordan Peele,"Horror, Psychological Thriller",4500000,255400000,"A young Black man visits his white girlfriend's parents for the weekend, discovering a deeply disturbing secret."
M2010_09,A Quiet Place,"Emily Blunt, John Krasinski, Millicent Simmonds",2018,John Krasinski,"Sci-Fi, Horror Thriller",17000000,341000000,"A family struggles to survive in a post-apocalyptic world populated by blind monsters with ultra-sensitive hearing."
M2010_10,Parasite,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",2019,Bong Joon Ho,"Dark Comedy, Thriller",15500000,263100000,"A poor family schemes to become employed by a wealthy family, infiltrating their household one by one."
M2020_01,Tenet,"John David Washington, Robert Pattinson, Elizabeth Debicki",2020,Christopher Nolan,"Sci-Fi, Action Thriller",200000000,365300000,"A secret agent learns to manipulate the flow of time to prevent a looming global catastrophe."
M2020_02,Promising Young Woman,"Carey Mulligan, Bo Burnham, Alison Brie",2020,Emerald Fennell,"Revenge Thriller",7400000,19000000,"A young woman traumatized by a tragic event in her past seeks vengeance against those who cross her path."
M2020_03,Glass Onion,"Daniel Craig, Edward Norton, Janelle Monáe",2022,Rian Johnson,"Mystery, Whodunit Thriller",40000000,15000000,"Tech billionaire invites his friends for a getaway on his private Greek island, but someone turns up dead."
M2020_04,Anatomy of a Fall,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner",2023,Justine Triet,"Legal, Psychological Thriller",6700000,36000000,"A woman is suspected of her husband's murder after he mysteriously falls to his death from their alpine chalet."
M2020_05,Civil War,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",2024,Alex Garland,"Dystopian, Action Thriller",50000000,122000000,"A team of military-embedded journalists races across a fractured United States during an escalating civil war."
M2020_06,Speak No Evil,"James McAvoy, Mackenzie Davis, Scoot McNairy",2024,James Watkins,"Psychological Thriller",15000000,77000000,"An American family's dream country holiday turns into a nightmare when they stay with a sinister British couple."
M2020_07,Companion,"Sophie Thatcher, Jack Quaid, Lukas Gage",2025,Drew Hancock,"Sci-Fi Thriller",10000000,36700000,"A weekend cabin getaway descends into absolute violence when a group of friends discovers one of them is a haywire android."
M2020_08,The Accountant 2,"Ben Affleck, Jon Bernthal, J.K. Simmons",2025,Gavin O'Connor,"Action Thriller",80000000,103000000,"A forensic accountant teams up with his lethal brother to hunt down assassins after a mutual friend is killed."
M2020_09,Sinners,"Michael B. Jordan, Hailee Steinfeld, Jack O'Connell",2025,Ryan Coogler,"Horror Thriller",90000000,370000000,"Twin brothers returning to their 1930s Mississippi hometown face an unexpected, ancient supernatural evil."
M2020_10,Crime 101,"Chris Hemsworth, Mark Ruffalo, Barry Keoghan",2026,Bart Layton,"Crime, Heist Thriller",90000000,72900000,"A relentless detective tries to stop an elusive jewel thief planning one final high-stakes heist along the 101 freeway."
