movie_id,title,cast,release_year,director,genres,budget_usd,box_office_usd,plot,decade,box_office_to_budget,tmdb_id,imdb_id,runtime,vote_average,vote_count,popularity,tagline,poster_url,enriched
M1950_01,Sunset Boulevard,"William Holden, Gloria Swanson, Erich von Stroheim",1950,Billy Wilder,"Noir, Psychological Thriller",1750000,5000000,A faded silent-film star ropes a young screenwriter into her delusional return to glory.,1950,2.857142857142857,599,tt0043014,110,8.275,2975,8.9676,A Hollywood Story.,https://image.tmdb.org/t/p/w500/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg,True
M1950_02,Strangers on a Train,"Farley Granger, Ruth Roman, Robert Walker",1951,Alfred Hitchcock,Psychological Thriller,1200000,7000000,Two strangers on a train plot the perfect cross-murder swap to escape suspicion.,1950,5.833333333333333,845,tt0044079,101,7.658,1906,4.1691,It starts with a shriek of a train whistle... and ends with shrieking excitement!,https://image.tmdb.org/t/p/w500/ihC083U7ef56Ui4x0P0dobojrZ1.jpg,True
M1950_03,Dial M for Murder,"Ray Milland, Grace Kelly, Robert Cummings",1954,Alfred Hitchcock,Crime Thriller,1400000,6000000,An ex-tennis pro plots to murder his wealthy wife after discovering her affair.,1950,4.285714285714286,521,tt0046912,105,8.002,2897,5.465,Is this the man she was waiting for... or the man who was waiting for her?,https://image.tmdb.org/t/p/w500/2gDCAgl2iBQNuJuk6p2xtuS1ewg.jpg,True
M1950_04,Rear Window,"James Stewart, Grace Kelly, Wendell Corey",1954,Alfred Hitchcock,"Mystery, Suspense",1000000,37000000,A recuperating photographer spies on his neighbors from his apartment window and becomes convinced one has committed murder.,1950,37.0,567,tt0047396,113,8.337,7251,14.2115,It only takes one witness to spoil the perfect crime.,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,True
M1950_05,711 Ocean Drive,"Edmond O'Brien, Joanne Dru, Otto Kruger",1950,Joseph M. Newman,"Crime, Noir, Thriller",300000,1550000,An electronics expert uses his knowledge to help a bookmaking syndicate build a massive illegal gambling empire.,1950,5.166666666666667,37087,tt0042176,102,6.4,40,0.8283,"Expose of the $8,000,000,000 gambling syndicate and its hoodlum empire!",https://image.tmdb.org/t/p/w500/nRTfhyRPFW2f3RPi8PgjQE9t3Pt.jpg,True
M1950_06,The Man Who Knew Too Much,"James Stewart, Doris Day, Christopher Olsen",1956,Alfred Hitchcock,Espionage Thriller,1200000,11300000,A family vacationing in Morocco stumbles into an international assassination plot and faces a kidnapping.,1950,9.416666666666666,574,tt0049470,121,7.434,1574,3.7032,A little knowledge can be a deadly thing!,https://image.tmdb.org/t/p/w500/gy8YBRjCQRIT9x9G9F5fpnFD4xw.jpg,True
M1950_07,Touch of Evil,"Charlton Heston, Janet Leigh, Orson Welles",1958,Orson Welles,"Crime Noir, Thriller",850000,2200000,"A stark story of murder, kidnapping, and police corruption in a Mexican border town.",1950,2.588235294117647,1480,tt0052311,111,7.741,1618,5.1222,The strangest vengeance ever planned!,https://image.tmdb.org/t/p/w500/1pvRgmfBaoMczIJBOi9gCOZ4FMC.jpg,True
M1950_08,Vertigo,"James Stewart, Kim Novak, Barbara Bel Geddes",1958,Alfred Hitchcock,Psychological Thriller,2500000,7300000,An acrophobic detective becomes obsessed with a beautiful woman he is hired to tail.,1950,2.92,426,tt0052357,128,8.137,6411,11.8436,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,https://image.tmdb.org/t/p/w500/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,True
M1950_09,Anatomy of a Murder,"James Stewart, Lee Remick, Ben Gazzara",1959,Otto Preminger,Legal Thriller,2000000,11000000,A small-town lawyer defends an army lieutenant who claims temporary insanity after killing an innkeeper.,1950,5.5,93,tt0052561,161,7.8,1185,3.3443,Last year's No. 1 best-seller...This year's No. 1 motion picture.,https://image.tmdb.org/t/p/w500/b2G1QSAwtBv9luhEwErIgSRaU92.jpg,True
M1950_10,North by Northwest,"Cary Grant, Eva Marie Saint, James Mason",1959,Alfred Hitchcock,"Action, Spy Thriller",4300000,9800000,A New York ad executive is mistaken for a government agent by a gang of foreign spies.,1950,2.2790697674418605,213,tt0053125,137,7.965,4562,6.5828,"It's a deadly game of ""tag"" and Cary Grant is ""it""!",https://image.tmdb.org/t/p/w500/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,True
M1960_01,Psycho,"Anthony Perkins, Janet Leigh, Vera Miles",1960,Alfred Hitchcock,"Horror, Psychological Thriller",800000,50000000,A secretary on the run checks into a remote motel run by a deeply disturbed young man.,1960,62.5,539,tt0054215,109,8.411,11106,19.4363,A new and altogether different screen excitement!,https://image.tmdb.org/t/p/w500/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,True
M1960_02,Peeping Tom,"Carl Boehm, Anna Massey, Moira Shearer",1960,Michael Powell,Psychological Thriller,350000,100000,A serial killer murders women using a movie camera to record their dying expressions of fear.,1960,0.2857142857142857,11167,tt0054167,101,7.455,915,3.1913,What made this the most diabolical murder weapon ever used?,https://image.tmdb.org/t/p/w500/u36rFrXW7XethWpiEWbRjzfgOc.jpg,True
M1960_03,Cape Fear,"Gregory Peck, Robert Mitchum, Polly Bergen",1962,J. Lee Thompson,Psychological Thriller,2000000,5000000,A lawyer's family is terrorized by a sadistic ex-convict he helped put behind bars.,1960,2.5,11349,tt0055824,106,7.454,645,5.6819,Now he had only one weapon left—murder!,https://image.tmdb.org/t/p/w500/xDqaHjMbnebtB05QWgAR8wW86sb.jpg,True
M1960_04,The Manchurian Candidate,"Frank Sinatra, Laurence Harvey, Janet Leigh",1962,John Frankenheimer,Political Thriller,2200000,7700000,A Korean War veteran brainwashed by Communists becomes an unwitting political assassin.,1960,3.5,982,tt0056218,126,7.502,820,4.832,"When you've seen it all, you'll swear there's never been anything like it!",https://image.tmdb.org/t/p/w500/2xQ856kd9hw6bB3OnusGyTvvkwB.jpg,True
M1960_05,The Birds,"Tippi Hedren, Rod Taylor, Jessica Tandy",1963,Alfred Hitchcock,"Natural Horror, Thriller",2500000,11400000,A wealthy socialite follows a lawyer to a small town where birds suddenly begin attacking people.,1960,4.56,571,tt0056869,119,7.51,4515,8.6586,"...and remember, the next scream you hear may be your own!",https://image.tmdb.org/t/p/w500/eClg8QPg8mwB6INIC4pyR5pAbDr.jpg,True
M1960_06,Charade,"Cary Grant, Audrey Hepburn, Walter Matthau",1963,Stanley Donen,"Romantic Comedy, Mystery Thriller",3000000,13500000,A woman is pursued by a gang of criminals looking for her late husband's stolen fortune.,1960,4.5,4808,tt0056923,113,7.655,1567,4.3938,Is anyone really who they seem to be?,https://image.tmdb.org/t/p/w500/qqaPjC5FQidtKY65jbAKZPiOTaS.jpg,True
M1960_07,Fail Safe,"Henry Fonda, Walter Matthau, Fritz Weaver",1964,Sidney Lumet,Cold War Thriller,1300000,2000000,A technical malfunction accidentally sends an American bomber group to launch a nuclear strike on Moscow.,1960,1.5384615384615385,502,tt0058083,112,7.837,481,3.7108,It will have you sitting on the brink of eternity!,https://image.tmdb.org/t/p/w500/qrsj5hort5xkLOKw9NyraGMnlVP.jpg,True
M1960_08,Repulsion,"Catherine Deneuve, Ian Hendry, John Fraser",1965,Roman Polanski,Psychological Thriller,300000,3100000,"An introverted, man-hating woman descends into violent madness while left alone in an apartment.",1960,10.333333333333334,11481,tt0059646,105,7.367,1119,3.5059,The nightmare world of a virgin's dreams becomes the screen's shocking reality!,https://image.tmdb.org/t/p/w500/dtyCKEPLqv9wxyVazL4b843vtUb.jpg,True
M1960_09,Wait Until Dark,"Audrey Hepburn, Alan Arkin, Richard Crenna",1967,Terence Young,Suspense Thriller,3000000,17500000,A recently blinded woman is terrorized by three con men searching for a drug-filled doll.,1960,5.833333333333333,11206,tt0062467,108,7.331,605,2.8127,A blind woman plays a deadly game of survival.,https://image.tmdb.org/t/p/w500/cNW3ewCB52KkxzSE47PcE5Bqvmr.jpg,True
M1960_10,In the Heat of the Night,"Sidney Poitier, Rod Steiger, Warren Oates",1967,Norman Jewison,"Mystery, Crime Thriller",2000000,24400000,A Black detective is wrongfully arrested for murder in a racist Southern town and stays to solve the case.,1960,12.2,10633,tt0061811,109,7.68,1264,3.8487,They got a murder on their hands. They don’t know what to do with it.,https://image.tmdb.org/t/p/w500/qFpfALhprXmOAbA5upTNupZw8rq.jpg,True
